College Code,Name,Gender,Qualification,Employee Id,Email,Short Name,Mobile No,Adhar No
401,Falguni Bose 1,Male,"M.Sc, Ph.D",F_01,1 fbose@gmail.com,F.B 1,9933225561,112233554461
401,Falguni Bose 2,Male,M.Sc,F_02,2 fbose@gmail.com,F.B 2,9933225562,112233554462
401,Falguni Bose 3,Male,"M.Sc, Ph.D",F_03,3 fbose@gmail.com,F.B 3,9933225563,112233554463
401,Falguni Bose 4,Male,"M.Sc, Ph.D",F_04,4 fbose@gmail.com,F.B 4,9933225564,112233554464
401,Falguni Bose 5,Female,"M.Sc, Ph.D",F_05,5 fbose@gmail.com,F.B 5,9933225565,112233554465
401,Falguni Bose 6,Male,"M.Sc, Ph.D",F_06,6 fbose@gmail.com,F.B 6,9933225566,112233554466
401,Falguni Bose 7,Male,M.Tech,F_07,7 fbose@gmail.com,F.B 7,9933225567,112233554467
401,Falguni Bose 8,Male,"M.Sc, Ph.D",F_08,8 fbose@gmail.com,F.B 8,9933225568,112233554468
401,Falguni Bose 9,Male,"M.Sc, Ph.D",F_09,9 fbose@gmail.com,F.B 9,9933225569,112233554469
401,Falguni Bose 10,Male,"M.Sc, Ph.D",F_10,10 fbose@gmail.com,F.B 10,9933225570,112233554470
401,Falguni Bose 11,Female,"M.Sc, Ph.D",F_11,11 fbose@gmail.com,F.B 11,9933225571,112233554471
401,Falguni Bose 12,Male,"M.Sc, Ph.D",F_12,12 fbose@gmail.com,F.B 12,9933225572,112233554472
401,Falguni Bose 13,Male,M.Tech,F_13,13 fbose@gmail.com,F.B 13,9933225573,112233554473
401,Falguni Bose 14,Male,"M.Sc, Ph.D",F_14,14 fbose@gmail.com,F.B 14,9933225574,112233554474
401,Falguni Bose 15,Female,M.Sc,F_15,15 fbose@gmail.com,F.B 15,9933225575,112233554475
401,Falguni Bose 16,Male,"M.Sc, Ph.D",F_16,16 fbose@gmail.com,F.B 16,9933225576,112233554476
401,Falguni Bose 17,Male,"M.Sc, Ph.D",F_17,17 fbose@gmail.com,F.B 17,9933225577,112233554477
401,Falguni Bose 18,Male,"M.Sc, Ph.D",F_18,18 fbose@gmail.com,F.B 18,9933225578,112233554478
401,Falguni Bose 19,Female,M.Tech,F_19,19 fbose@gmail.com,F.B 19,9933225579,112233554479
401,Falguni Bose 20,Male,"M.Sc, Ph.D",F_20,20 fbose@gmail.com,F.B 20,9933225580,112233554480
401,Falguni Bose 21,Male,B.SC,F_21,21 fbose@gmail.com,F.B 21,9933225581,112233554481
401,Falguni Bose 22,Male,B.COM,F_22,22 fbose@gmail.com,F.B 22,9933225582,112233554482
401,Falguni Bose 23,Male,"M.Sc, Ph.D",F_23,23 fbose@gmail.com,F.B 23,9933225583,112233554483
401,Falguni Bose 24,Female,M.Sc,F_24,24 fbose@gmail.com,F.B 24,9933225584,112233554484
401,Falguni Bose 25,Male,"M.Sc, Ph.D",F_25,25 fbose@gmail.com,F.B 25,9933225585,112233554485
401,Falguni Bose 26,Male,"M.Sc, Ph.D",F_26,26 fbose@gmail.com,F.B 26,9933225586,112233554486
401,Falguni Bose 27,Male,"M.Sc, Ph.D",F_27,27 fbose@gmail.com,F.B 27,9933225587,112233554487
401,Falguni Bose 28,Male,"M.Sc, Ph.D",F_28,28 fbose@gmail.com,F.B 28,9933225588,112233554488
401,Falguni Bose 29,Male,M.Tech,F_29,29 fbose@gmail.com,F.B 29,9933225589,112233554489
401,Falguni Bose 30,Female,"M.Sc, Ph.D",F_30,30 fbose@gmail.com,F.B 30,9933225590,112233554490
401,Falguni Bose 31,Male,"M.Sc, Ph.D",F_31,31 fbose@gmail.com,F.B 31,9933225591,112233554491
401,Falguni Bose 32,Male,"M.Sc, Ph.D",F_32,32 fbose@gmail.com,F.B 32,9933225592,112233554492
401,Falguni Bose 33,Male,"M.Sc, Ph.D",F_33,33 fbose@gmail.com,F.B 33,9933225593,112233554493
401,Falguni Bose 34,Female,"M.Sc, Ph.D",F_34,34 fbose@gmail.com,F.B 34,9933225594,112233554494
401,Falguni Bose 35,Male,M.Tech,F_35,35 fbose@gmail.com,F.B 35,9933225595,112233554495
401,Falguni Bose 36,Male,"M.Sc, Ph.D",F_36,36 fbose@gmail.com,F.B 36,9933225596,112233554496
401,Falguni Bose 37,Male,M.Sc,F_37,37 fbose@gmail.com,F.B 37,9933225597,112233554497
401,Falguni Bose 38,Female,"M.Sc, Ph.D",F_38,38 fbose@gmail.com,F.B 38,9933225598,112233554498
401,Falguni Bose 39,Male,"M.Sc, Ph.D",F_39,39 fbose@gmail.com,F.B 39,9933225599,112233554499
401,Falguni Bose 40,Male,"M.Sc, Ph.D",F_40,40 fbose@gmail.com,F.B 40,9933225600,112233554500
401,Falguni Bose 41,Male,M.Tech,F_41,41 fbose@gmail.com,F.B 41,9933225601,112233554501
401,Falguni Bose 42,Male,"M.Sc, Ph.D",F_42,42 fbose@gmail.com,F.B 42,9933225602,112233554502
401,Falguni Bose 43,Female,B.SC,F_43,43 fbose@gmail.com,F.B 43,9933225603,112233554503
401,Falguni Bose 44,Male,B.COM,F_44,44 fbose@gmail.com,F.B 44,9933225604,112233554504
401,Falguni Bose 45,Male,"M.Sc, Ph.D",F_45,45 fbose@gmail.com,F.B 45,9933225605,112233554505
401,Falguni Bose 46,Male,M.Sc,F_46,46 fbose@gmail.com,F.B 46,9933225606,112233554506
401,Falguni Bose 47,Male,"M.Sc, Ph.D",F_47,47 fbose@gmail.com,F.B 47,9933225607,112233554507
401,Falguni Bose 48,Male,"M.Sc, Ph.D",F_48,48 fbose@gmail.com,F.B 48,9933225608,112233554508
